comments,labels
December 12 inn katta waitingullar like poad,Not_offensive
Jobi jorge padam ano. Potti mone,Offensive_Targeted_Insult_Individual
Cinema kanditum idakku idakku keri trailer kanund,Not_offensive
ജിമിട്ടൊളികൾ ഇപ്പോളെ unlike അടിച്ചു തുടങ്ങി  അസുരൻ loading..,Offensive_Targeted_Insult_Group
Muriyandikal pannikuutatam pole thurimezhukuvansllooscenes are rememmbering pulimurugan,Offensive_Targeted_Insult_Group
Nth bhashayado ith vech ketti malabr bhasha samsarikkunnu. Mohanlal malabarine kaliyakkunnu,Offensive_Targeted_Insult_Individual
Raja 100cr adikkumenn urappullavar like adikk,Not_offensive
MALAYALAM DJ REMIX NEW NON STOP EVERGREENSONGS PSY TRANCE MIX SONGS BY DJ NIGHT,not-malayalam
Trailer കാണാൻ വേണ്ടി urakathe kathe ninvar ലൈക്‌ adi,Not_offensive
ആരും  കണ്ടേക്കരുതേ,Offensive_Targeted_Insult_Group
Trailer kanditu hit aakumaenonum paeayunila pakshae Suraajaetantae Abhinayam kidukum,Not_offensive
Thrissur pooram trailer  hidden details,not-malayalam
Against കമ്മീസ്,Not_offensive
Iyyalkke rest cheyyanulla time aayilla.. kanda oola padagalilellam abinayiche vila poi paavam..,Offensive_Targeted_Insult_Individual
ettante mattoru vismayamakum big brother ...  laletta muthe......,Not_offensive
Mohanlal da ....  Vera evan da   Love you thalaiva mohanlal sir   Frm tamilnadu,not-malayalam
ഏദെങ്കിലും ഹോളിവുഡ് സിനിമ പോലെ സാമ്യം തോന്നിയോ ആർകെങ്കിലും??,Not_offensive
Mamookka was big salute for Lakshdweep,not-malayalam
Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu,Not_offensive
Mamuka 60 age ah no 25,not-malayalam
ഷറഫുദ്ധീൻ ആണെന്ന് തോന്നുന്നു ഈ സീരിയൽ കില്ലർ,Not_offensive
any one from nov 2 2k19,not-malayalam
Poli Poli Poli Poli Poli Poli Poli Poli Poli 🥰,Not_offensive
